budget,genres,original_language,runtime,vote_average,director,Action,Adventure,Animation,Comedy,Crime,Documentary,Drama,Family,Fantasy,Fiction,Foreign,History,Horror,Movie,Music,Mystery,Romance,Science,TV,Thriller,War,Western,succes_commercial
0,Comedy Drama,en,108.0,6.7,Arie Posin,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1
10000000,Comedy,en,86.0,3.0,Alan Smithee,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0
8500000,Action Crime Drama Thriller,en,119.0,6.4,Christopher McQuarrie,True,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,1
20000000,Action Comedy Crime,en,84.0,4.7,Les Mayfield,True,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0
500,Crime Drama,en,101.0,0.0,Fernando Baez Mella,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0
7000000,Drama Crime,en,104.0,6.1,Paul Schrader,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0
10000000,Comedy Drama,en,111.0,6.3,Dan Harris,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0
8000000,Drama Horror,en,92.0,6.6,E. Elias Merhige,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,1
130000000,Adventure Action Science Fiction,en,146.0,7.4,Francis Lawrence,True,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,1
0,Comedy Romance,en,94.0,4.5,David Raynr,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,1
10000000,Drama Action Comedy Western,en,89.0,6.7,William Phillips,True,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,0
12500000,Crime Drama Mystery,en,100.0,7.5,James Foley,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,1
